,name,bio
0,d_v_ivanov_,"💼 Глава Местной администрации муниципального округа Васильевский, к.э.н., ЧГЭК СПбПУ Петра Великого, старший преподаватель СПбГИПСР"
1,mikhail.ovdin,
2,aleks_selantev,"Рыбак и охотник со стажем 
Любое снаряжение - в ЛС"
3,viacheslavborodichh,
4,natalyasibirskaya,"Активный пенсионер)
Официальный партнер Корпорации «Сибирское здоровье».
Директор Центра Обслуживания Клиентов в Коломне.
8-985-1600-973."
5,sverige_pa_riktigt,"Настоящая Швеция и её люди 🇸🇪 
Living in Sweden 🌲🚜☕️
Det har hänt på riktigt - inspirerad av verkliga händelser här i Sverige ✨
Malmö, Sweden"
6,andrey_books_baikal,"Руководитель БИД
Главный редактор
Дизайнер"
7,kulikovskaiavalentina1795,
8,maximenko_dm2001,"• Окончил Лицей НИУ ВШЭ
• Студент ОП ""Социология"" НИУ ВШЭ"
9,darima0306,"Всё о том, как простой учитель  может путешествовать  по всему миру🌏
Преврати путешествие в источник дохода 
 Пройди по ссылке👇"
10,aleksei.5442,",@"
11,karikh__natalia,
12,vokinrahz,"чиню и скупаю всю электронику кроме ворованной
по всем вопросам пишите в смс"
13,diyar.sibirskoe.astana,"Личный аккаунт @kireyeva.sw 
ЭКО продукты для здоровья и красоты🍏
Мы ждем вас👇
г. Нур-Султан
ул.С409 д.13
БЦ ""Дияр"" (ЦОН) офис 215
р-он 10 поликлиники"
14,el.ruso_official,"Official Instagram of The Russian 🇷🇺
Guitar Player 🎸
Sólo Un@ puede reclamar derecho sobre sí y su Existencia ;-)"
15,evpershina,"Эксперт по здоровью и красоте (опыт более 20 лет)
Составлю программу по оздоровлению/омоложению/снижению веса (1-я консультация в подарок)
✍🏿директ👇👇"
16,ecostationrb,"Дополнительное образование📚
Естественнонаучная направленность🌱
Структурное подразделение @rebc.03 🏡"
17,dzhavir,
18,chernishulyaok_guide03,"Гид-экскурсовод🏕️ по Северу🏞️Байкала🗻 сопроводю с удовольствием 😁 расскажу📢интересное, покажу чего не видели"
19,jougennoichi,
20,ilyaaalexandrov,"All thoughts are material
Follow your inner vision."
21,still_have_a_soul,"✨Ведущий научный университет страны
🎇С чувством, с толком, с расстановкой 
✨Помогаю исследовать себя"
22,gusakandrey,It’s time to hack a case
23,irinabagaeva,"Партнёр Siberian Wellnes ❄️
•
Психолог👤
•
Команда лидеров📈
•
(здоровый образ жизни вместе) 
.......»❗️Ищу партнеров❗️«......
•
WhatsApp +79039913906📲"
24,tregubova5426,"С февраля в NL International жду ваши заказы
Похудела с помощью продуктов NL почти на 10кг (была 67,7 стала 58)"
25,anastasia.grishchen,"• хочу объехать весь Байкал и кое-какие места в мире
• учусь на экотренера в @greendriver.ru 
• вяжу @xorogs"
26,kiss_olgavocat83,🎈🐾💖💫🍀
27,yura_zalo,*Health Coach *Personal Trainer * Nutrition  #Healer #osteopathy #yoga #Rebalancing #sportmassage  #detox
28,sonyia198,
29,siberian_alena_,"📲из найма в онлайн💸
🌳партнер @siberianwellness
💪укреплю здоровье, сохраню молодость
💸Научу зарабатывать в сети
👇Подробнее 
👇Присоединяйся в команду"
30,maryaantuan,фанат футбола
31,ayuna_irk,
32,baigaltravel,#ПокочуемпоБурятии #BaigalTravel #BaikalBuryatia Туры по Бурятии Байкалу Улан-Удэ Экскурсии Гиды Транспорт MICE Отели #БурятияБольшеБайкала!
33,marinamorozova8724,День рождения 17 марта
34,penzinatatyana,"Наука на пользу Вашего сада
🌱Кандидат биологических наук
🌱Более 100 прекрасных ландшафтов
🌱Лесной доктор/фитопатолог"
35,realpierrebarkov,"🎓MGIMO-IR الجامعة 
🇹🇷 @turk_kulubu başkanı
💸 Consulting & Finance
🎹 pianist"
36,pegovanatali,Партнер Siberian Wellness ❄❄❄веду ЗОЖ
37,pavelokunev,"📍Профессиональный танцор (Ballet, Neoclassic, Contemporary)
📍Мастер-классы в direct 
📍Организатор @baikaldancefest"
38,shahbazi___58,"🌷عشق آتش نشان   عاشق کوهنوردی طبیعت شنا غواصی دوچرخه  دره نوردی غار  سنگ یخ نوردی و اسکی🌷زگهواره تا گور ورزش بجوی💪💪💪
🚒 🗻🏊⛷🚵‍♂️🚒🚒"
39,galkaguide_baikal,"⭐ Мы в ответе за тех, кого заманили⭐
📙Дневник гида
📝основано на реальных событиях"
40,novoleo,"Наблюдаю.
Вытворяю здесь:
➡️ A-LEO.RU
➡️ @novolav
➡️ @mimiminimalizm"
41,kostynyka,"Здесь душевно ПРО семью, ПРО работу, ПРО жизнь
Развиваюсь с NL, потому что это МОЁ
Знаю как после 35 сохранить форму и 🧠
Давай меняться вместе! Жми ⬇️"
42,valentinakhodzhaeva1704,👷Работающая пенсионерка.👩Представитель брэнда🍏 Siberianwellness💰Международный бизнес
43,lampa.tomicha,"С заботой о нашем будущем!
💡Филаментная светодиодная лампочка:
•Безопасна для глаз
•Без мерцания
•Экономит бюджет
•Экологично"
44,v_a_sysoeva_8,
45,wizardhome_uu,"Продажа/покупка/сопровождение
Ипотека с дополнительной скидкой во всех банках Улан-Удэ!
Эксперт в сделках с недвижимостью
Консультации 24/7"
46,iririiiiiiiiiii,
47,anthropocene_studies,"Междисциплинарный исследовательский проект, посвящённый экофилософии и проблемам антропоцена."
48,zerowaste.lab,"Лаборатория по разработке устойчивых продуктов
📍 Moscow, Russia
Mail: zerowastelab@bk.ru"
49,oleg_gavrelyk,
50,panchulidze.tatyana,Навстречу возможностям!
51,elllll_va,🪐🪐🪐
52,belkova254,
53,anna_maltseva2,"Учитель английского языка🦉
Магистр по направлению лингвистика👩‍🎓"
54,karina_anapa2018,Arts as life ❤️.                                                         Our family life in pictures ! Elham Karina Milan Amir 🌈☀️
55,basharovaolga2020,"Семья, бизнес, психология, дача, питомцы и всё всё!!! 😁😁😁🥰🥰🥰🌞🌞🌞"
56,nikolitton,"ESG, устойчивое развитие, оценка жизненного цикла 
Сооснователь и CEO @prostoe.delo 
Байкальский риск форум ⬇️"
57,gaiane_debrabanter,"▪️ #freediving instructor x marine biologist x art lover
▪️ Red Sea 🐬 trips @consciencebleue 
▪️ 🧿 portfolio👇🏼"
58,redkotatyana,
59,bulat_youngster,Boxing is art of movements.
60,mrs_merrymaking,"💡Основатель @ecozhitel_kamchatki 
🍃 Дарю полезные ЭКОподарки
⚡️ Вдохновляю на добрые дела
🙌🏻 Создаю причёски
⚓️ Вилючинск"
61,aigul_s.w,"На связи Айгуля☺️
Витамины для Всей Семьи 👨‍👩‍👧‍👦
Эко-косметика 🍃
Всё есть в наличии для заказа ⤵️"
62,_clevermadchen_,
63,lu_b_san,"Запускаю проекты 🌲
интересы #экология #образование
из #деревни #семьиучителей
📍 Восточная Сибирь, Байкальский Регион, 
с. Кижинга
Приоритетный проект:"
64,koronija,"развојник паучине
подрумар
@vinarija_korolija"
65,evgeniyapintaeva,"Researcher, Ph.D. in Chemistry 👩‍🔬
Do what makes me happy 💖"
66,smanova_sabina,Духи ESSENS это мировой бренд Чешского производителя!  WhatsApp +996755739302 Kyrgyzstan город Кант 🇰🇬
67,patina.bilalova,
68,con_cesso,
69,vosvod_olkhon,Sitnikser@yandex.ru
70,ekkrasavina,"❄️Партнёр компании SIBERIAN WELLNESS, #krasavinasw 
🌏Развиваю международный бизнес.✈️
🍀 Раскрываю секреты красоты и здоровья.⬇️"
71,petya.drobkov,
72,darhan_car,"🎨Покраска
🛠️Замена порогов и арок
🔨Ремонт бамперов🔽🔽🔽
🕵️Помощь в подборе авто
🍬Предпродажная подготовка
Г. Шелехов, 
☎️для справок 79500834842"
73,baikal_kater,"🌊Покажем БАЙКАЛ во всей красе 
📸Фотосессии 
👤Индивидуальные и 👥групповые экскурсии: КБЖД 🛥 Листвянка
Чтобы связаться с нами переходите по ссылке 
📲👇"
74,latif_adurzada,
75,ohsubbotina,Urban consultant at @strelka_kb | ex @bainandcompany
76,greenandbluemermaid,Exploring life in green and blue water | @cleanhub.io Ambassador | Freediver | Instructor @kalunafreediving | Yoga teacher | Vegan 🌱💙
77,greenbiotech_isu,"Лаборатория фармацевтической биотехнологии
🧪Ищем биоактивные соединения 
🧬Изучаем биодеструкцию 
🧫Исследуем трюфель и мох для биофармацевтики"
78,sokolnikova.yu,
79,salamatinagallery,
80,aldwych87,
81,poltavskaya_yulia,Собственник бизнеса. Сеть цветочных салонов 🌸«Розовый ветер»🌸 г.Иркутск   🌹🌷🌺🌻💐 @rozovyi_veter                                  @rozovyi.veter_home
82,yu_vinokurova,"🌍🏢🏡 ПЛАНИРУЕТЕ  ПЕРЕЕЗД?
Продать/Купить
КВАРТИРЫ/ДОМА/ЗЕМЕЛЬНЫЕ УЧАСТКИ
Сопровод/Документы/Ипотека. 
Мурманский регион и другие.
👇
WA/📲/☎️+79212829528"
83,oleg_bch,
84,dabaeva_seseg,"Меняю осознанно свою жизнь к успеху!!!
Чем больше человек ""наполняет"" себя внутренне, тем больше может дать обществу!!!
Раскрой свою уникальность!!!"
85,efrem_guru_bpm,"✌🏻HIP-HOP DANCE запись на занятия⬇️
Тренер по плаванию самых маленьких.⬇️
Обучаю танцевать, дышать, нырять, закаляться.↙️"
86,elenafilimona518,"ЕЛЕНА ФИЛИМОНОВА, Я партнер компании Saberian Wellness, художник, люблю путешествия. Мама двоих детей. Курганинск. Россия."
87,sofi_strahova,In search of myself💫⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ Currently working in finance 💸⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ Learning to protect nature💚
88,elenabaikalolkhon,"милые мелочи огромного мира
Baikal. Olkhon.
viber, watsapp"
89,mistatiana75,
90,siberiawellness,"Worldwide Shipping
🧴vegan
🤍без сульфатов, фталатов, парабенов
для бизнеса DM; 
for MLM business DM💌"
91,chichigv,"😁С улыбкой по жизни 
💛 Сибирь 
👀 Наращиваю красивые ресницы 
🤝 Вместе с  SIBERIAN WELLNESS ❄️"
92,nastya_rogova.sw,"🤝Уважаю ЗОЖ
🌺Знаю секрет вечной молодости😁
🌱Заменила масс маркет на ЭКО магазин  SIBERIAN WELLNESS."
93,kutyats23,😎Доктор
